CD_MUN,NM_MUN,Quantidade de moradores,Sexo masculino,Sexo feminino,"Sexo masculino, 0 a 4 anos","Sexo masculino, 5 a 9 anos","Sexo masculino, 10 a 14 anos","Sexo masculino, 15 a 19 anos","Sexo masculino, 20 a 24 anos","Sexo masculino, 25 a 29 anos","Sexo masculino, 30 a 39 anos","Sexo masculino, 40 a 49 anos","Sexo masculino, 50 a 59 anos","Sexo masculino, 60 a 69 anos","Sexo masculino, 70 anos ou mais","Sexo feminino, 0 a 4 anos","Sexo feminino, 5 a 9 anos","Sexo feminino, 10 a 14 anos","Sexo feminino, 15 a 19 anos","Sexo feminino, 20 a 24 anos","Sexo feminino, 25 a 29 anos","Sexo feminino, 30 a 39 anos","Sexo feminino, 40 a 49 anos","Sexo feminino, 50 a 59 anos","Sexo feminino, 60 a 69 anos","Sexo feminino, 70 anos ou mais",0 a 4 anos,5 a 9 anos,10 a 14 anos,15 a 19 anos,20 a 24 anos,25 a 29 anos,30 a 39 anos,40 a 49 anos,50 a 59 anos,60 a 69 anos,70 anos ou mais
2107308,Nova Iorque,4309,2169,2140,136,142,201,175,198,144,313,292,207,171,186,147,157,178,189,146,146,287,243,229,198,213,287,299,380,366,344,290,600,535,436,369,399
2107357,Nova Olinda do Maranhão,14276,7071,7205,559,581,661,743,604,471,951,915,646,476,431,569,560,672,733,567,507,1111,860,650,494,434,1132,1149,1335,1482,1180,987,2066,1777,1298,975,867
2107407,Olho d'Água das Cunhãs,17912,8870,9042,610,615,719,776,782,616,1283,1290,946,660,530,571,661,661,753,711,643,1349,1308,981,731,630,1188,1284,1393,1535,1498,1272,2635,2598,1929,1399,1167
2107456,Olinda Nova do Maranhão,13564,6876,6688,511,585,643,717,548,479,1018,896,574,467,341,510,499,553,643,513,466,1133,774,617,461,409,1034,1098,1205,1373,1082,966,2158,1683,1208,946,776
2107506,Paço do Lumiar,145643,69377,76266,5382,5784,5529,5411,5556,5644,12704,10405,6555,3857,2295,5304,5510,5415,5677,6047,6330,14501,11832,7582,4788,3086,10716,11322,10966,11124,11619,12008,27222,22251,14150,8691,5467
2107605,Palmeirândia,21054,10472,10582,852,951,901,922,785,643,1760,1402,945,706,546,782,904,814,879,822,700,1819,1429,952,743,660,1640,1864,1725,1813,1618,1358,3579,2831,1902,1463,1222
2107704,Paraibano,18266,9000,9266,686,809,730,743,662,668,1337,1173,893,653,613,675,726,758,746,682,657,1332,1124,1029,754,745,1372,1543,1495,1496,1354,1329,2671,2301,1925,1408,1362
2107803,Parnarama,31235,15606,15629,1339,1392,1441,1509,1228,935,2161,1973,1446,1137,977,1313,1345,1388,1470,1187,985,2224,1937,1527,1160,1014,2662,2749,2838,2985,2430,1935,4387,3921,2979,2318,2017
2107902,Passagem Franca,17211,8509,8702,710,782,791,772,662,576,1230,1046,815,562,531,628,747,710,764,689,662,1212,1094,831,710,625,1341,1531,1509,1541,1359,1244,2444,2145,1650,1281,1159
2108009,Pastos Bons,18802,9441,9361,710,785,841,883,778,737,1460,1132,911,624,553,717,711,888,799,710,739,1378,1154,917,687,632,1429,1502,1735,1686,1494,1478,2841,2289,1832,1315,1190
